POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Year ,,,,,,,,,,,
24,Basil Thampi,12,12,44,424,11,38.54,9.49,24.36,0,0,2017,,,,,,,,,,,
25,Lasith Malinga,12,12,45,382,11,34.72,8.52,24.45,0,0,2017,,,,,,,,,,,
26,Zaheer Khan,11,11,40,313,10,31.3,7.79,24.1,0,0,2017,,,,,,,,,,,
27,Sunil Narine,16,15,59,412,10,41.2,6.98,35.4,0,0,2017,,,,,,,,,,,
28,Mohammed Siraj,6,6,23,212,10,21.2,9.21,13.8,1,0,2017,,,,,,,,,,,
29,Amit Mishra,14,14,39,343,10,34.3,8.83,23.3,0,0,2017,,,,,,,,,,,
30,Krunal Pandya,13,13,40,273,10,27.3,6.82,24,0,0,2017,,,,,,,,,,,
31,Samuel Badree,7,7,25,188,9,20.88,7.52,16.66,1,0,2017,,,,,,,,,,,
32,Washington Sundar,11,10,30,185,8,23.12,6.16,22.5,0,0,2017,,,,,,,,,,,
33,Harbhajan Singh,11,11,41,266,8,33.25,6.48,30.75,0,0,2017,,,,,,,,,,,
34,Ashish Nehra,6,6,21,197,8,24.62,9.3,15.87,0,0,2017,,,,,,,,,,,
35,Varun Aaron,6,6,20,163,7,23.28,8.15,17.14,0,0,2017,,,,,,,,,,,
36,Mitchell Johnson,5,5,20,141,7,20.14,7.05,17.14,0,0,2017,,,,,,,,,,,
37,Adam Zampa,6,6,20,163,7,23.28,8.21,17,0,0,2017,,,,,,,,,,,
38,Glenn Maxwell,14,8,19,125,7,17.85,6.57,16.28,0,0,2017,,,,,,,,,,,
39,James Faulkner,8,8,26,258,6,43,9.79,26.33,0,0,2017,,,,,,,,,,,
40,Shahbaz Nadeem,7,7,18,119,6,19.83,6.67,17.83,0,0,2017,,,,,,,,,,,
41,Praveen Kumar,6,6,16,151,6,25.16,9.15,16.5,0,0,2017,,,,,,,,,,,
42,Piyush Chawla,6,6,20,179,6,29.83,8.95,20,0,0,2017,,,,,,,,,,,
43,Kagiso Rabada,6,6,21,188,6,31.33,8.81,21.33,0,0,2017,,,,,,,,,,,
44,Hardik Pandya,17,13,26,213,6,35.5,8.19,26,0,0,2017,,,,,,,,,,,
45,Aniket Choudhary,5,5,17,144,5,28.8,8.55,20.2,0,0,2017,,,,,,,,,,,
46,Pradeep Sangwan,5,5,18,181,5,36.2,10.05,21.6,0,0,2017,,,,,,,,,,,
47,Tymal Mills,5,5,18,153,5,30.6,8.57,21.4,0,0,2017,,,,,,,,,,,
48,Mohammad Shami,8,8,26,243,5,48.6,9.34,31.2,0,0,2017,,,,,,,,,,,
49,Trent Boult,6,6,24,216,5,43.2,9.06,28.6,0,0,2017,,,,,,,,,,,
50,Ravindra Jadeja,12,12,38,349,5,69.8,9.18,45.6,0,0,2017,,,,,,,,,,,
51,Sreenath Aravind,10,10,30,275,5,55,9.01,36.6,0,0,2017,,,,,,,,,,,
52,Shane Watson,8,8,27,245,5,49,9.13,32.2,0,0,2017,,,,,,,,,,,
53,Stuart Binny,8,4,6,50,4,12.5,8.33,9,0,0,2017,,,,,,,,,,,
54,Colin de Grandhomme,12,9,16,135,4,33.75,8.43,24,0,0,2017,,,,,,,,,,,
55,KC Cariappa,4,4,15,127,4,31.75,8.46,22.5,0,0,2017,,,,,,,,,,,
